4.6	0.06	0.1	107
5.6	0.08	0.2	121
7	0.1	0.2	147
7.9	0.12	0.3	171
9.4	0.14	0.3	192
10.8	0.16	0.4	220
12.2	0.18	0.4	218
14.2	0.2	0.4	242
15.1	0.22	0.5	289
16.7	0.24	0.5	335
17.9	0.26	0.6	319
19	0.28	0.6	362
20.6	0.3	0.7	379
22.4	0.32	0.7	454
24.6	0.34	0.8	500
25.2	0.36	0.8	534
27.3	0.38	0.9	557
28.6	0.4	0.9	589
30.7	0.42	1	663
31.9	0.44	1	687
33.6	0.46	1.1	717
34.6	0.48	1.1	721
36.7	0.5	1.2	842
38.5	0.52	1.2	925
39.6	0.54	1.3	866
41.9	0.56	1.3	1017
43.3	0.58	1.3	1017
45.4	0.6	1.4	1009
46.7	0.62	1.4	1147
48.4	0.64	1.5	1126
51.2	0.68	1.6	1244
54.7	0.72	1.7	1280
59	0.76	1.8	1371
62.2	0.8	1.9	1391
65.3	0.84	1.9	1436
70.5	0.9	2.1	1471
75.6	0.96	2.2	1438
81.2	1.02	2.4	1419
87.8	1.08	2.5	1385
92.2	1.14	2.7	1421
98.1	1.2	2.8	1305
102.2	1.26	2.9	1264
107.7	1.32	3.1	1156
113.3	1.38	3.3	1029
118.1	1.45	3.4	972
123.4	1.5	3.5	853
128	1.56	3.7	760
132.5	1.62	3.8	672
137	1.68	4	639
142.4	1.74	4.2	635
149.1	1.8	4.3	452
151.3	1.86	4.5	399
155.9	1.92	4.6	399
161.3	2	4.8	289
